timestamp px py pz qx qy qz qw
141.300000000 13.449726924 0.348657045 -0.047028822 -0.000683276 0.001938098 -0.170372604 0.985377569
141.400000000 13.458132313 0.319559536 -0.027851480 0.017762649 -0.016088518 -0.184671170 0.982508120
141.500000000 13.487747202 0.296847499 -0.045230881 0.010435605 -0.003159234 -0.199046291 0.979929432
141.700000000 13.590148571 0.279926140 -0.041672682 -0.000831237 0.000154193 -0.178277143 0.983979952
141.800000000 13.632621468 0.272877417 -0.043484465 -0.013344071 0.012447121 -0.178814676 0.983713534
141.900000000 13.651185707 0.259197562 -0.040620976 -0.006580822 -0.002888966 -0.184751166 0.982759051
143.300000000 14.119570911 0.079540242 -0.021893905 -0.018024399 0.007400749 -0.194527262 0.980703571
143.400000000 14.147861763 0.075383708 -0.013347865 -0.014150865 -0.004699452 -0.179856118 0.983579913
143.500000000 14.185833234 0.070448898 -0.042719376 -0.001639596 0.008155034 -0.148781907 0.988835048
143.600000000 14.227092125 0.084836330 -0.028975206 -0.007457876 0.006336687 -0.099385661 0.995000863
143.700000000 14.260620996 0.089078379 -0.041342447 -0.004468506 0.001603923 -0.070936388 0.997469543
144.400000000 14.507086547 0.047261013 -0.020434373 -0.019259025 0.005527217 -0.088592371 0.995866423
144.900000000 14.675246755 0.010305005 -0.024021792 0.004646768 0.004426109 -0.090010501 0.995920141
145.500000000 14.886350686 -0.017398333 -0.025069939 -0.018925088 0.004708902 -0.095555155 0.995233078
146.000000000 15.055738255 -0.059217315 -0.020381137 0.003173467 0.003438696 -0.097696883 0.995205217
146.500000000 15.228469789 -0.066497162 -0.034028082 -0.006873978 0.005063525 -0.061308704 0.998082337
146.600000000 15.264341826 -0.045901049 -0.048476874 -0.013088312 0.006594910 -0.022966597 0.999628800
146.700000000 15.292968226 -0.041507333 -0.041662983 0.000142554 0.001317197 -0.000048665 0.999999121
147.700000000 15.647008161 -0.042668078 -0.046725031 -0.015211385 0.003437420 -0.010495640 0.999823304
148.200000000 15.831427045 -0.062865681 -0.040015047 0.008145986 0.006926893 -0.010307259 0.999889705
148.800000000 16.037217668 -0.048303940 -0.055249836 -0.014092512 0.002999279 -0.010047397 0.999845716
149.300000000 16.211943320 -0.063376115 -0.039918436 0.007653158 0.006504668 -0.010283774 0.999896676
149.900000000 16.421745848 -0.043502593 -0.048620951 -0.014870658 0.003073295 -0.010387911 0.999830741
150.400000000 16.592610959 -0.069550271 -0.039104161 0.006484211 0.006398918 -0.010575777 0.999902576
151.000000000 16.801261097 -0.055541400 -0.038400834 -0.017909185 0.003785493 -0.011033983 0.999771565
151.500000000 16.975086835 -0.078245679 -0.026089254 0.006367952 0.006631257 -0.011075756 0.999896396
152.100000000 17.182323819 -0.067481138 -0.042002305 -0.014993340 0.003512129 -0.011237911 0.999818271
152.600000000 17.361768845 -0.083727546 -0.032100608 0.008135298 0.007673730 -0.011051458 0.999876390
153.200000000 17.559731492 -0.073537368 -0.043174909 -0.014715571 0.003718115 -0.010969645 0.999824632
153.700000000 17.735496622 -0.090524343 -0.028019440 0.006271629 0.007668166 -0.011044166 0.999889940
154.300000000 17.947227366 -0.079562471 -0.037564867 -0.015797070 0.003557988 -0.010806340 0.999810490
